คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมไฟฟ้า,166,5,5,20948.7500,20847.5000,20900.5000,36.8421
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมโทรคมนาคม,70,5,5,19357.5000,18702.5000,18996.9500,271.8845
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมสารสนเทศ,125,5,5,19013.7500,17761.9500,18099.8900,519.8076
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมคอมพิวเตอร์,168,30,30,21893.4000,18472.5500,19138.7967,707.9948
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมเครื่องกล,201,5,5,20745.0000,20261.9500,20503.1400,213.3117
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอุตสาหการ,182,35,35,20075.0000,18376.2500,18923.2757,520.9502
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมเกษตร ,116,15,15,17830.0000,16672.5000,17086.5467,358.7483
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอาหาร ,75,5,5,19128.2000,17916.2500,18503.6400,449.2764
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมเคม,147,5,5,21530.0000,20510.0000,20830.0600,407.4146
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมโยธา,197,5,5,20200.4500,19612.5000,19964.9000,230.7672
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมระบบควบคุม,110,5,5,20790.0000,18256.2500,19003.3900,1015.5860
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมการวัดคุม,133,5,5,19576.0000,18903.7500,19260.9500,300.8451
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมแมคคาทรอนิกส์,89,5,5,20195.0000,18695.0000,19388.7500,713.9492
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอัตโนมัติ,138,5,5,18120.9000,17860.7000,18029.8200,99.4479
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมพลังงานไฟฟ้า,74,5,5,20102.5500,18875.0000,19282.1500,513.0708
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอิเล็กทรอนิกส์,126,5,5,19608.7500,18674.6500,19015.1100,371.6949
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมชีวการแพทย์,67,5,5,21099.4000,20188.7500,20414.6300,386.2908
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมขนส่งทางราง,123,5,5,19821.2500,19235.0000,19475.8600,221.4992
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมปีโตเคมี,152,5,5,20669.7500,19753.7500,20207.4500,364.5428
 คณะครุศาสตร์อุตสาหกรรม สาขาวิชาภาษาญี่ปุ่น,301,41,41,22060.0000,17956.2500,18529.5902,824.6192
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาภาษาอังกฤษ ,378,61,62,22428.7500,20767.5000,21275.4177,407.0018
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาครุศาสตร์วิศวกรรม (5 ปี) ,142,10,10,19717.5000,17433.7500,18060.8200,745.1557
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาสถาปัตยกรรม (5 ปี) ,65,5,5,19423.7500,17847.5000,18334.5100,636.7995
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาการออกแบบสภาพแวดล้อมภายใน (5 ปี),21,5,5,18225.0000,16442.5000,17662.4200,721.8010
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาครุศาสตร์การออกแบบ (5 ปี) ,32,5,5,17985.0000,16639.5000,17265.4400,541.2925
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาครุศาสตร์เกษตร (5 ป๊),347,10,10,18555.0000,16313.8000,16801.7650,661.7224
คณะเทคโนโลยีการเกษตร สาขาวิชาเกษตรศาสตร์ (พืชไร่ พืชสวน กีฏวิทยา โรคพืช ปฐพีวิทยา ภูมิทัศน์),740,250,250,15322.5000,11921.2500,12647.3004,607.2253
คณะเทคโนโลยีการเกษตร สาขาวิชาสัตวศาสตร,199,25,25,15238.7500,13863.7500,14420.7840,427.1728
คณะเทคโนโลยีการเกษตร สาขาวิชาวิทยาศาสตร์การประมง,165,35,35,15605.0000,12700.0000,13285.4771,512.4108
