คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมไฟฟ้า,166,5,5,20948.75,20847.5,20900.5,36.8421
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมโทรคมนาคม,70,5,5,19357.5,18702.5,18996.95,271.8845
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมสารสนเทศ,125,5,5,19013.75,17761.95,18099.89,519.8076
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมคอมพิวเตอร์,168,30,30,"21,893.40","18,472.55","19,138.80",707.9948
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมเครื่องกล,201,5,5,"20,745.00","20,261.95","20,503.14",213.3117
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอุตสาหการ,182,35,35,"20,075.00","18,376.25","18,923.28",520.9502
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมเกษตร ,116,15,15,"17,830.00","16,672.50","17,086.55",358.7483
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอาหาร ,75,5,5,"19,128.20","17,916.25","18,503.64",449.28
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมเคม,147,5,5,"21,530.00","20,510.00","20,830.06",407.41
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมโยธา,197,5,5,"20,200.45","19,612.50","19,964.90",230.77
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมระบบควบคุม,110,5,5,"20,790.00","18,256.25","19,003.39","1,015.59"
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมการวัดคุม,133,5,5,"19,576.00","18,903.75","19,260.95",300.85
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมแมคคาทรอนิกส์,89,5,5,"20,195.00","18,695.00","19,388.75",713.95
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอัตโนมัติ,138,5,5,18120.9,"17,860.70","18,029.82",99.45
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมพลังงานไฟฟ้า,74,5,5,"20,102.55","18,875.00","19,282.15",513.0708
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอิเล็กทรอนิกส์,126,5,5,"19,608.75","18,674.65","19,015.11",371.6949
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมชีวการแพทย์,67,5,5,"21,099.40","20,188.75","20,414.63",386.2908
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมขนส่งทางราง,123,5,5,"19,821.25","19,235.00","19,475.86",221.4992
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมปีโตเคมี,152,5,5,"20,669.75","19,753.75","20,207.45",364.5428
